id,title,addres,district,lat,lon,geocode_status,geocode_source,geocode_confidence,price,area,rooms,floor,total_floors,source_url,image_url,description,deal_type,building_type,metro_station,metro_time_minutes,created_at
10,"4-комн. квартира, 130 м²","Москва, ЗАО, Кутузовский пр-т, 12",Дорогомилово,55.748889,37.557152,geocoded,nominatim,0.55,85 000 000 ₽,130 м²,4,8,12,https://www.cian.ru/sale/flat/322461382/?context=3.dDWQJzTlK-Y.cjL5TJze-i_6NAINIXxAmBJjKLE4KdRsEeUVBiJ4U5Oyy9HEGAXJ6YEvHn-zglx0DNZoPGvjGeCajw&mlSearchSessionGuid=3cffa1794306030d39567e4742f86467,https://images.cdn-cian.ru/images/kvartira-moskva-kutuzovskiy-prospekt-2651244611-1.jpg,"Вид на реку, авторский дизайн, паркинг.",Продажа,Кирпичный,Кутузовская,5,2026-04-01
11,"1-комн. квартира, 36 м²","Москва, СВАО, Алтуфьевское ш., 79",Лианозово,55.881253,37.585292,geocoded,nominatim,0.55,10 200 000 ₽,36 м²,1,6,17,https://www.cian.ru/sale/flat/325131566/?context=3.x4kne_ej9-w._wwq2q2glo1yR8F-d3rGpupLFCyyxIsUI5Izw6Xyv8cietSEPefaqSxij9Ek4Mz2mnrqrJfM7tEsVw,https://images.cdn-cian.ru/images/kvartira-moskva-ulica-panfilova-2827976173-1.jpg,"Окна во двор, развитая инфраструктура.",Продажа,Панельный,Алтуфьево,10,2026-04-02
12,"2-комн. квартира, 52 м²","Москва, Зеленоград, корп. 1025",Зеленоград,55.799229,37.501932,geocoded,cian-page,0.93,8 900 000 ₽,52 м²,2,3,9,https://www.cian.ru/sale/flat/326319139/?context=3.PIT4xx288rs.mIDTrtMxDxnuF-yrsxg5wJFc1uqACowd6aDs2_N07liOUDPB251gJ1fL7Fo8Pk25lNIoRCx3KxrIng,https://images.cdn-cian.ru/images/kvartira-moskva-ulica-alabyana-2788350225-1.jpg,"Тихий район, рядом лес. Чистая продажа.",Продажа,Панельный,Крюково,5,2026-04-01
13,"3-комн. квартира, 90 м²","Москва, СЗАО, ул. Маршала Катукова, 22",Строгино,55.804438,37.411675,geocoded,nominatim,0.55,28 000 000 ₽,90 м²,3,12,18,https://www.cian.ru/sale/flat/326896082/?context=3.bUA75CutsdE.LO0JS6iHR5t6YbVqP4HltKC2fQXVnbSxCLaY2MikpMZtZpMpCfePNQ0qhFftZhK5y38puS_sfT71eA&mlSearchSessionGuid=ec4bcdc14f31b53ea05a9044da54b1ec,https://images.cdn-cian.ru/images/2805165405-1.jpg,"Просторная евро-трешка, два балкона.",Продажа,Монолитный,Строгино,7,2026-04-02
14,"1-комн. квартира, 30 м²","Москва, ЮВАО, Волгоградский пр-т, 88",Текстильщики,55.704424,37.769278,geocoded,nominatim,0.55,9 100 000 ₽,30 м²,1,2,5,https://www.cian.ru/sale/flat/328539247/?context=3.TFCGwWRxZDs.cDGsKrY6yM0DAeJ_Ymkmjp50OQXLuJaJoa5IyA5WjwNiAY-WVUfR7qv_2oFgKAlZjckdHZjOTWZmLw&mlSearchSessionGuid=037fd12d6bd1f64673cd2a117f83366b,https://images.cdn-cian.ru/images/2847074763-1.jpg,Хрущевка под ремонт. Низкий этаж.,Продажа,Кирпичный,Текстильщики,4,2026-04-02
15,"2-комн. квартира, 58 м²","Москва, САО, Дмитровское ш., 169",Западное Дегунино,55.929230,37.540405,geocoded,nominatim,0.55,13 800 000 ₽,58 м²,2,14,25,https://www.cian.ru/sale/flat/326162798/?context=3.dGbTNUKgnXU.JNJSglRRlQ77Sp3ycKOtar7K9EktdGex-zj3dkxuPyrpfO_lsqRL82hvDFJ_RZ2Db1NpdbbAnYGWeQ&mlSearchSessionGuid=259cda069bdb7231e77bb7b2942dc555,https://images.cdn-cian.ru/images/kvartira-moskva-dmitrovskoe-shosse-2793207822-1.jpg,"Новостройка, отделка white box.",Продажа,Монолитный,Лианозово,15,2026-04-01
16,"3-комн. квартира, 70 м²","Москва, ВАО, Щелковское ш., 100",Гольяново,55.812008,37.833930,geocoded,nominatim,0.55,15 500 000 ₽,70 м²,3,5,9,https://www.cian.ru/sale/flat/328385170/?context=3.MVoWho70zIA.TZkzC91aYX1EfcDuWs2nqp7CDmZXJbQAPvggrhton6i3w0odrlTTZr9s0DgxG44JWwsb9qGu86euXA&mlSearchSessionGuid=550947ef9c7be548c2f59ab3bfa09d53,https://images.cdn-cian.ru/images/kvartira-moskva-shcelkovskoe-shosse-2844081619-1.jpg,Смежно-изолированные комнаты.,Продажа,Панельный,Щелковская,12,2026-04-02
17,"4-комн. квартира, 105 м²","Москва, ЮЗАО, ул. Обручева, 30",Черемушки,55.656183,37.528591,geocoded,nominatim,0.55,38 000 000 ₽,105 м²,4,10,16,https://www.cian.ru/sale/flat/324110962/?context=3.jvWkMcvpMSM.8r_FOTeD_esQ1CFkEshRFFfDRDMrHDwXSI-2acbUH90_2dEl9-FAnJ-FPNHokmHOC804SeBrGZCZVQ&mlSearchSessionGuid=6d8c8e3e485162ed4b27ff704a99448f,https://images.cdn-cian.ru/images/dolya-v-kvartire-moskva-ulica-obrucheva-2706347234-1.jpg,"Большая семья, все комнаты изолированы.",Продажа,Кирпичный,Калужская,10,2026-04-01
18,"1-комн. квартира, 40 м²","Москва, ЗАО, ул. Нежинская, 13",Очаково-Матвеевское,55.707202,37.472286,geocoded,nominatim,0.55,18 000 000 ₽,40 м²,1,15,25,https://www.cian.ru/sale/flat/328055468/?context=3.YW87h-aMduc.Frjsm03LEtP6pJdKypD7Hybcf9qo4oJb8qE7RzXOQ-I9DY1WC0wQtJqw_1UNOz9JwD_MhREmYfxnJQ&mlSearchSessionGuid=d69fc48b7d2ad04ababef0b205ebd94f,https://images.cdn-cian.ru/images/kvartira-moskva-nezhinskaya-ulica-2834878556-1.jpg,"ЖК Бизнес-класса, видовой этаж.",Продажа,Монолитный,Мичуринский проспект,12,2026-04-02
19,"2-комн. квартира, 50 м²","Москва, ЮАО, ул. Кировоградская, 23к2",Чертаново Южное,55.631986,37.613429,geocoded,nominatim,0.55,12 900 000 ₽,50 м²,2,7,9,https://www.cian.ru/sale/flat/327692077/?context=3.A_F30TjM5BI.rzKLK-iu99ygKEYHuedjRXdXQi91U4nHBfgXhmVIe4zsIFWxhuOexLZ1an12CnAB1e44I9jfQ2i8JA&mlSearchSessionGuid=3a407694de3c827daf0250ee038de1a7,https://images.cdn-cian.ru/images/2826482432-1.jpg,"Рядом ТЦ Прага, метро в шаговой доступности.",Продажа,Панельный,Улица Академика Янгеля,6,2026-04-02
20,"1-комн. квартира, 35 м²","Москва, СВАО, Ярославское ш., 124",Свиблово,55.870755,37.713369,geocoded,nominatim,0.55,13 200 000 ₽,35 м²,1,8,12,https://www.cian.ru/sale/flat/328358238/?context=3.55xtiEFuxYY.AfLCLSeyDxcYEKMAN2px1vPXZ_wLxjhg5BJLtZlZCPTF3xP40DbhC-g5GEBS_xoYxODR9cIUZR1LuQ&mlSearchSessionGuid=a544200bd033c07e8430ec9e4131138a,https://images.cdn-cian.ru/images/2843451635-1.jpg,"Тихий зеленый район, Ботанический сад рядом.",Продажа,Кирпичный,Свиблово,8,2026-04-01
21,"3-комн. квартира, 85 м²","Москва, САО, Ленинградское ш., 25",Войковский,55.827885,37.489424,geocoded,nominatim,0.55,32 000 000 ₽,85 м²,3,6,8,https://www.cian.ru/sale/flat/328464832/?context=3.-Acx9ATm_PM.oKaIS1-UCGJWM6zb6QJJY-gmA6VRkRWcedSH05XRRHklrIsJnQ7FaDrW_0dBuZWJpCABvympVsVzCw&mlSearchSessionGuid=8166da41ed3430f1e869cf985c57bd5e,https://images.cdn-cian.ru/images/2845679758-1.jpg,"Сталинский дом, толстые стены, высокий потолок.",Продажа,Кирпичный,Войковская,7,2026-04-02
22,"2-комн. квартира, 54 м²","Москва, ВАО, Измайловское ш., 71",Соколиная Гора,55.790513,37.746453,geocoded,nominatim,0.55,15 800 000 ₽,54 м²,2,10,16,https://www.cian.ru/sale/flat/328481759/?context=3.Ami-pKXdBTA.L9RiBEJg2Gk_13PE8f8DTOqDH9LlUqp5XJ7goP2Oa2Afn-UeXqW7wZHEqqt_t6-NlwRz93QyBZMrKA,https://images.cdn-cian.ru/images/2845971462-1.jpg,"Современный дом, подземный паркинг.",Продажа,Монолитный,Шоссе Энтузиастов,15,2026-04-01
23,"1-комн. квартира, 32 м²","Москва, ЮЗАО, ул. Вавилова, 15",Гагаринский,55.702562,37.581303,geocoded,nominatim,0.55,14 500 000 ₽,32 м²,1,4,5,https://www.cian.ru/sale/flat/327577442/?context=3.4GoyaojAcfc.gnpMjaPwV7X4K_polryxJa3EPWaoAz-iFN82_Hylke-NxGwMn5a6gU6yWt3HTJA7xn06gUxuCzXQ1A&mlSearchSessionGuid=0c924fdde3ba4f568285ac71b52f4ad5,https://images.cdn-cian.ru/images/2823616083-1.jpg,"Центр науки, интеллигентные соседи.",Продажа,Кирпичный,Ленинский проспект,10,2026-04-02
24,"4-комн. квартира, 120 м²","Москва, СЗАО, Мякининская наб., 6",Строгино,55.722036,37.647419,geocoded,cian-page,0.93,55 000 000 ₽,120 м²,4,18,25,https://www.cian.ru/sale/flat/323517098/?context=3.BxrTYAjlQoU.9S-GLZfXrcqsQmRWV1Ae5qXgUUumep5s47GFsTQjo0UmSY38OlMEKuE1h2qmL3SO42PXvlOBoSNIpA&mlSearchSessionGuid=43b4b481867339c85aa246fa0132528f,https://images.cdn-cian.ru/images/2686977377-1.jpg,"Первая линия воды, премиум ремонт.",Продажа,Монолитный,Мякинино,5,2026-04-02
25,"2-комн. квартира, 46 м²","Москва, ЮВАО, ул. Перерва, 52",Марьино,55.656100,37.744354,geocoded,nominatim,0.55,11 500 000 ₽,46 м²,2,3,9,https://www.cian.ru/sale/flat/328377036/?context=3.EyQpqEaZib0.t6NuN0s12KteRceGDDlLbUZ-pQ5bc1niHjXQXbocMlzREOW8zntewVy_oWAFJRwbqObqBNGd8f90CQ&mlSearchSessionGuid=8b2db3f886d4b3fdee54266bdd02364f,https://images.cdn-cian.ru/images/2843872341-1.jpg,"Спальный район, много школ и садов.",Продажа,Панельный,Марьино,7,2026-04-01
26,"1-комн. квартира, 39 м²","Москва, САО, ул. 800-летия Москвы, 14",Северный,55.877987,37.548628,geocoded,nominatim,0.55,11 800 000 ₽,39 м²,1,12,17,https://www.cian.ru/sale/flat/327232402/?context=3.1lXA-FzllRs.097FOXxzOWo5A7jXA0ozsOSlfikBeHyqdyCIsQbtc_N7IDyXUgbPqYsOSxlL-hT7XxfND9vV9KdfIg&mlSearchSessionGuid=0a4c3266862850a0be2780efcd204a40,https://images.cdn-cian.ru/images/kvartira-moskva-ulica-800letiya-moskvy-2815281948-1.jpg,"Новый район, свежий ремонт от застройщика.",Продажа,Монолитный,Селигерская,10,2026-04-02
27,"3-комн. квартира, 78 м²","Москва, ЗАО, ул. Раменки, 23",Раменки,55.689865,37.493001,geocoded,nominatim,0.55,29 000 000 ₽,78 м²,3,5,9,https://www.cian.ru/sale/flat/324014021/?context=3.21qI0qg3JOw.y5Sssi7uVOf3qSqyVUestIRzEjRCygj5b1XUTmRG6azvZSSK3q99pniJuYHkQWHOw-cyym3JV4bqfA&mlSearchSessionGuid=f9efb3ef9d5f0ce92c98de4a6971470f,https://images.cdn-cian.ru/images/kvartira-moskva-ulica-ramenki-2703503712-1.jpg,"Элитный район, малоэтажный дом.",Продажа,Кирпичный,Раменки,8,2026-04-01
28,"1-комн. квартира, 34 м²","Москва, ВАО, ул. Богородский Вал, 8",Богородское,55.802498,37.707030,geocoded,nominatim,0.55,10 900 000 ₽,34 м²,1,6,9,https://www.cian.ru/sale/flat/321358718/?context=3.sLKymC0RAYE.bgwL4-WupCX-bFjumROGqJMy5Kjj9e79WLbvVfr53CuZ--Ktctxwp8fjfnwoBBWuB1ogZ9vImV31CQ&mlSearchSessionGuid=dc2aa5e9a0033cdf3a088b93cd92d961,https://images.cdn-cian.ru/images/2613193939-1.jpg,"Рядом парк Сокольники, тихо.",Продажа,Кирпичный,Бульвар Рокоссовского,12,2026-04-02
29,"2-комн. квартира, 62 м²","Москва, ЮАО, Нахимовский пр-т, 42",Нагорный,55.677946,37.564273,geocoded,nominatim,0.55,19 000 000 ₽,62 м²,2,11,17,https://www.cian.ru/sale/flat/328106896/?context=3.wwWczb554E0.bJuS7zAq2P5TEQ4SUaCfYhlDVmuM7Je99yDk4sOMWfoJjRv42SXBd2vqu91aE8kuvg93WC242Tgmpg&mlSearchSessionGuid=d9d29b4492263aa37ff873dbb7bfb233,https://images.cdn-cian.ru/images/kvartira-moskva-nahimovskiy-prospekt-2835979604-1.jpg,"Евродвушка, просторная кухня-гостиная.",Продажа,Монолитный,Нагорная,10,2026-04-02
30,"1-комн. квартира, 37 м²","Москва, СВАО, ул. Енисейская, 17",Бабушкинский,55.867606,37.661372,geocoded,nominatim,0.55,14 000 000 ₽,37 м²,1,9,12,https://www.cian.ru/sale/flat/327681965/?context=3.wIjSOPxWVno.vIn1MCdh4NIZdT9LbM6x7peMLsWxly8L52zMJ1UzuskLkjZGwtUaqYoiIKXBXCfExzwUYQqQfQ8oEA&mlSearchSessionGuid=03bef04e963260b11cc48ced8237b100,https://images.cdn-cian.ru/images/2826254664-1.jpg,"Хорошее состояние, заезжай и живи.",Продажа,Панельный,Бабушкинская,6,2026-04-01
31,"3-комн. квартира, 95 м²","Москва, ЦАО, Садовническая наб., 63",Замоскворечье,55.739782,37.639273,geocoded,nominatim,0.55,52 000 000 ₽,95 м²,3,7,9,https://www.cian.ru/sale/flat/326879513/?context=3.udAqfEUTyn8.JuK6Kia8F_Z-VsuafxsAj9RK710C8ZCwDznKGN3ZPHJxda_c6B3fjQ60nBYa5Gej_z7O2gFpY8H76A,https://images.cdn-cian.ru/images/kvartira-moskva-ulica-ramenki-2804533786-1.jpg,"Вид на Кремль, историческое здание.",Продажа,Кирпичный,Новокузнецкая,5,2026-04-02
32,"2-комн. квартира, 51 м²","Москва, ЮЗАО, ул. Гарибальди, 15",Черемушки,55.675177,37.545865,geocoded,nominatim,0.55,17 500 000 ₽,51 м²,2,4,9,https://www.cian.ru/sale/flat/328356120/?context=3.f99OeL4_IfM.bthXl81EdWkhp7Bh06EjKhY7L8IUP0dTKFGkW2gCImG5lpKDpwiTneTAnF_0c0meLpNYIbXrmH_biw&mlSearchSessionGuid=96b29f66334655ff02dac6ebb47d2641,https://images.cdn-cian.ru/images/kvartira-moskva-ulica-garibaldi-2843387348-1.jpg,Рядня метро Новые Черемушки.,Продажа,Панельный,Новые Черемушки,5,2026-04-01
33,"1-комн. квартира, 41 м²","Москва, СЗАО, ул. Твардовского, 10",Строгино,55.793303,37.394766,geocoded,nominatim,0.55,15 200 000 ₽,41 м²,1,14,18,https://www.cian.ru/sale/flat/327517551/?context=3.Dkx4ZMcH5Ik.nBZGPozUoHVol_dd-DWebtIN3w80Yb3vp9TGgM2Y4Wi1NWGvhk9qItd6NVF2B_a9NXFKcdseyZDTVA&mlSearchSessionGuid=1fe8c82d60e3974b8ada9a79ed4945b5,https://images.cdn-cian.ru/images/kvartira-moskva-ulica-tvardovskogo-2822359626-1.jpg,"Большой балкон, вид на лес.",Продажа,Монолитный,Строгино,12,2026-04-02
34,"4-комн. квартира, 115 м²","Москва, ВАО, Измайловское ш., 81",Измайлово,55.787822,37.747478,geocoded,nominatim,0.55,35 000 000 ₽,115 м²,4,10,14,https://balashikha.cian.ru/sale/flat/319509443/?context=3.kD6-Pq13L3U._3hzAX8_sDHlQOnSp8BVkyq_NUUC08N7vhB0G9cl79qNc_PqEk-iZ2MhArkaBVZaHhpDyNgLZ6aN-w&mlSearchSessionGuid=c8904946cc71f71493a511188771c725,https://images.cdn-cian.ru/images/kvartira-balashiha-reutovskaya-ulica-2553582523-1.jpg,"Семейная квартира, два санузла.",Продажа,Кирпичный,Измайловская,10,2026-04-01
35,"1-комн. квартира, 29 м²","Москва, ЮВАО, ул. Совхозная, 20",Люблино,55.680699,37.764524,geocoded,nominatim,0.55,8 500 000 ₽,29 м²,1,2,5,https://www.cian.ru/sale/flat/328469300/?context=3.0AMLt4NrIlk.zmJqeRMWkJ9v4kLbUnOaQF_uD214OoWdEcEe5CHNJZtt4hVXm3BNg8TQC17bdNFBDPimGkUYT2othQ,https://images.cdn-cian.ru/images/2845791782-1.jpg,"Малосемейка, низкая цена входа.",Продажа,Кирпичный,Люблино,8,2026-04-02
36,"2-комн. квартира, 56 м²","Москва, САО, Керамический пр., 55",Головинский,55.877641,37.562861,geocoded,nominatim,0.55,16 000 000 ₽,56 м²,2,8,12,https://www.cian.ru/sale/flat/286346585/?context=3.Y34eDmpvI-g.hlL_ohsMvgIzMJ-o_Ywc9CwR5ObH1crh1T7zNMT6odwxeygMA7siHSvOoFdavxGKm5OSC2R-5CuJyQ&mlSearchSessionGuid=64f6e8f60d80ecabf189edf4faef3118,https://images.cdn-cian.ru/images/2574417878-1.jpg,Рядня Химкинское водохранилище.,Продажа,Панельный,Водный стадион,12,2026-04-01
37,"3-комн. квартира, 80 м²","Москва, ЮАО, ул. Днепропетровская, 4",Бирюлево Восточное,55.620196,37.602751,geocoded,nominatim,0.55,13 500 000 ₽,80 м²,3,5,9,https://www.cian.ru/sale/flat/326753760/?context=3.HNmKhXs6oe0.DrOjFMGeDdq2uzlVhJ552yvdHi1unmvBOiL61aGwviqsXMiOQ3gkjP7Lb4GXimEJiEQlaSIbSnvAlg&mlSearchSessionGuid=a7b8c1e68d4b9ce888bd9d8ab86de410,https://images.cdn-cian.ru/images/2821722907-1.jpg,"Просторная для большой семьи, недорого.",Продажа,Панельный,Бирюлево Товарная,10,2026-04-02
38,"1-комн. квартира, 43 м²","Москва, ЗАО, Минская ул., 1Г",Раменки,55.713010,37.500769,geocoded,nominatim,0.55,22 000 000 ₽,43 м²,1,20,30,https://www.cian.ru/sale/flat/328488345/?context=3.72JxdNWkvqo.Q3HO_zhFnDburJ5azQGX54XIiWL9iAiBOacg73q8sXyhTjHlchK3pBGkiysxLdalu_i8qTV9KICs7A&mlSearchSessionGuid=db09754ac03d4dbfbb54c66d4e2b0ad3,https://images.cdn-cian.ru/images/kvartira-moskva-minskaya-ulica-2846093478-1.jpg,"ЖК Воробьевы горы, видовой этаж.",Продажа,Монолитный,Ломоносовский проспект,15,2026-04-02
39,"2-комн. квартира, 53 м²","Москва, СВАО, ул. Менжинского, 32",Ярославский,55.869612,37.666779,geocoded,nominatim,0.55,15 500 000 ₽,53 м²,2,7,12,https://www.cian.ru/sale/flat/326228107/?context=3.wtoS4h1Gaeg.0bfcgk59BvwSUDez8RzYc9Gbqto1aDJBhpNYMQdwwOfYjLGMkThLslWEpc0AEWp2RoUeBgO0M24e-A,https://images.cdn-cian.ru/images/2785587943-1.jpg,"Тихий двор, детская площадка.",Продажа,Кирпичный,Бабушкинская,10,2026-04-01
40,"1-комн. квартира, 36 м²","Москва, ЮЗАО, ул. Академика Волгина, 12",Коньково,55.643509,37.504401,geocoded,nominatim,0.55,12 800 000 ₽,36 м²,1,6,9,https://www.cian.ru/sale/flat/324502937/?context=3.jV37p04gyew.rwrqpoiChIw3s6nOnLwzY9Bv1D64_sWdqanq3Y-xysZKyXMyfwEnLqb_pxHwurjrL3UvwBWsSFAhvg&mlSearchSessionGuid=899fb3d7991ff42401bf24e662f0fdcf,https://images.cdn-cian.ru/images/kvartira-moskva-ulica-akademika-volgina-2797677642-1.jpg,"Стандартный ремонт, чистая продажа.",Продажа,Панельный,Беляево,8,2026-04-02
41,"3-комн. квартира, 88 м²","Москва, СЗАО, ул. Исаковского, 30",Щукино,55.814115,37.408565,geocoded,nominatim,0.55,31 000 000 ₽,88 м²,3,10,16,https://www.cian.ru/sale/flat/327767789/?context=3.ylV69ER7IFM.RiuDRSTNic7FcPZ6kAU4CDdf7N4MPe7Li7UPhXYdxamCdgBCmC0Bnflx-o6vfm1mM_noy98uWB0b8g&mlSearchSessionGuid=8b40ca7a4ad5120921b12730b888fd63,https://images.cdn-cian.ru/images/2828169510-1.jpg,"Евро-формат, кухня 20 кв.м.",Продажа,Монолитный,Щукинская,7,2026-04-01
42,"2-комн. квартира, 49 м²","Москва, ВАО, ул. Первомайская, 42",Измайлово,55.790913,37.806297,geocoded,nominatim,0.55,13 900 000 ₽,49 м²,2,3,5,https://www.cian.ru/cat.php?currency=2&deal_type=sale&engine_version=2&maxprice=14000000&maxtarea=38&offer_type=flat&region=1&room1=1&street%5B0%5D=813&source=search_string,https://images.cdn-cian.ru/images/kvartira-moskva-ulica-akademika-volgina-2797677640-1.jpg,"Сталинка, высокие потолки.",Продажа,Кирпичный,Первомайская,5,2026-04-02
